"","Year","Song","Artist","War","Min_deaths","Max_deaths","beginning","ending","Combatants","Location","duration","avg_death"
"780","1982","""Gotcha""","Crass","Falklands War",907,907,1982,1982,"Argentina vs United Kingdom","Falklands",0,907
"781","1983","""How Does It Feel To Be The Mother of 1000 Dead?""","Crass","Falklands War",907,907,1982,1982,"Argentina vs United Kingdom","Falklands",0,907
"782","1984","""Island of No Return""","Billy Bragg","Falklands War",907,907,1982,1982,"Argentina vs United Kingdom","Falklands",0,907
"783","1983","""Let's Start a War""","The Exploited","Falklands War",907,907,1982,1982,"Argentina vs United Kingdom","Falklands",0,907
"784","1982","""No Bombardeen Buenos Aires""","Charly Garcia","Falklands War",907,907,1982,1982,"Argentina vs United Kingdom","Falklands",0,907
"785","1983","""The Post War Dream""","Pink Floyd","Falklands War",907,907,1982,1982,"Argentina vs United Kingdom","Falklands",0,907
"786","1982","""Sheep Farming in the Falklands""","Crass","Falklands War",907,907,1982,1982,"Argentina vs United Kingdom","Falklands",0,907
"787","1983","""Shipbuilding""","Elvis Costello and the Attractions","Falklands War",907,907,1982,1982,"Argentina vs United Kingdom","Falklands",0,907
"788","1983","""Southampton Dock""","Pink Floyd","Falklands War",907,907,1982,1982,"Argentina vs United Kingdom","Falklands",0,907
"789","1984","""Spirit of the Falklands""","New Model Army","Falklands War",907,907,1982,1982,"Argentina vs United Kingdom","Falklands",0,907
"790","1985","""Eddie""","Latin Quarter","Falklands War",907,907,1982,1982,"Argentina vs United Kingdom","Falklands",0,907
"791","1983","""Yes Sir, I Will""","Crass","Falklands War",907,907,1982,1982,"Argentina vs United Kingdom","Falklands",0,907
"792","1984","""Wha Dat""","Yellowman","Falklands War",907,907,1982,1982,"Argentina vs United Kingdom","Falklands",0,907
"793","1984","""The Right Side Won""","What Fun!","Falklands War",907,907,1982,1982,"Argentina vs United Kingdom","Falklands",0,907
"794","1996","""Bosnia""","The Cranberries","Yugoslav Wars",111214,140000,1991,1995,"Yugoslavia vs other countries","Balcans",4,125607
"795","1992","""Bili cvitak"" (White flower)","Jura Stublić","Yugoslav Wars",111214,140000,1991,1995,"Yugoslavia vs other countries","Balcans",4,125607
"796","1995","""Christmas Eve/Sarajevo 12/24""","Trans-Siberian Orchestra","Yugoslav Wars",111214,140000,1991,1995,"Yugoslavia vs other countries","Balcans",4,125607
"797","1994","""Crv""","Angel's Breath","Yugoslav Wars",111214,140000,1991,1995,"Yugoslavia vs other countries","Balcans",4,125607
"798","1993","""Čovek sa mesecom u očima""","Đorđe Balašević","Yugoslav Wars",111214,140000,1991,1995,"Yugoslavia vs other countries","Balcans",4,125607
"799","2000","""Dok gori nebo nad Novim Sadom""","Đorđe Balašević","Yugoslav Wars",111214,140000,1991,1995,"Yugoslavia vs other countries","Balcans",4,125607
"800","1995","""Dead Winter Dead"" note: The entire album is about the war in Sarajevo.","Savatage","Yugoslav Wars",111214,140000,1991,1995,"Yugoslavia vs other countries","Balcans",4,125607
"801","1993","""Gde si""","Bajaga i Instruktori","Yugoslav Wars",111214,140000,1991,1995,"Yugoslavia vs other countries","Balcans",4,125607
"802","1991","""Isabelle""","Greg Johnson","Yugoslav Wars",111214,140000,1991,1995,"Yugoslavia vs other countries","Balcans",4,125607
"803","1993","""Krivi smo mi""","Đorđe Balašević","Yugoslav Wars",111214,140000,1991,1995,"Yugoslavia vs other countries","Balcans",4,125607
"804","1995","""Kad sve ovo bude juče""","Dino Merlin","Yugoslav Wars",111214,140000,1991,1995,"Yugoslavia vs other countries","Balcans",4,125607
"805","1995","""Miss Sarajevo""","Passengers","Yugoslav Wars",111214,140000,1991,1995,"Yugoslavia vs other countries","Balcans",4,125607
"806","1997","""Lucky""","Radiohead","Yugoslav Wars",111214,140000,1991,1995,"Yugoslavia vs other countries","Balcans",4,125607
"807","1995","""Neću III svetski""","Babe","Yugoslav Wars",111214,140000,1991,1995,"Yugoslavia vs other countries","Balcans",4,125607
"808","1991","""Nebo, nebo plavo je""","Obojeni Program","Yugoslav Wars",111214,140000,1991,1995,"Yugoslavia vs other countries","Balcans",4,125607
"809","2006","""No Bravery""","James Blunt","Yugoslav Wars",111214,140000,1991,1995,"Yugoslavia vs other countries","Balcans",4,125607
"810","1993","""Ovo je Balkan""","Bajaga i Instruktori","Yugoslav Wars",111214,140000,1991,1995,"Yugoslavia vs other countries","Balcans",4,125607
"811","1995","""Peppers and Tomatoes""","Ralph McTell","Yugoslav Wars",111214,140000,1991,1995,"Yugoslavia vs other countries","Balcans",4,125607
"812","1996","""Regruteska""","Đorđe Balašević","Yugoslav Wars",111214,140000,1991,1995,"Yugoslavia vs other countries","Balcans",4,125607
"813","2000","""Sevdalinka""","Đorđe Balašević","Yugoslav Wars",111214,140000,1991,1995,"Yugoslavia vs other countries","Balcans",4,125607
"814","1992","""Slušaj 'vamo""","Rimtutituki","Yugoslav Wars",111214,140000,1991,1995,"Yugoslavia vs other countries","Balcans",4,125607
"815","1991","""Stop the War in Croatia""","Tomislav Ivčić","Yugoslav Wars",111214,140000,1991,1995,"Yugoslavia vs other countries","Balcans",4,125607
"816","1995","""Vrbana Bridge""","Jill Sobule","Yugoslav Wars",111214,140000,1991,1995,"Yugoslavia vs other countries","Balcans",4,125607
"817","2006","""We Burn""","Sabaton","Yugoslav Wars",111214,140000,1991,1995,"Yugoslavia vs other countries","Balcans",4,125607
"818","2002","""11th Hour""","Lamb of God","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"819","2008","""20 Dollar Nose Bleed""","Fall Out Boy","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"820","2009","""21 Guns""","Green Day","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"821","2002","""911 For Peace""","Anti-Flag","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"822","2008","""Down From The Sky""","Trivium","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"823","2002","""911""","Gorillaz","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"824","2014","""A Song to Stifle Imperial Progress""","The Used","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"825","2007","""A Farewell to Arms""","Machine Head","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"826","2004","""Act III Scene 2 (Shakespeare)""","Saul Williams","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"827","1992","""Afraid to Shoot Strangers""","Iron Maiden","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"828","2003","""Aftermath""","Strapping Young Lad","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"829","2005","""All the Young Fascists""","Shihad","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"830","2003","""America (Just Say No)""","Alien Stash Tin – Also covered by Betty Swallaux (2011)","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"831","2005","""America First""","Merle Haggard","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"832","2008","""American Blood""","Reckless Kelly","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"833","2003","""American Life""","Madonna","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"834","2004","""American Idiot""","Green Day","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"835","1993","""American Jesus""","Bad Religion","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"836","2010","""The American Scream""","Alkaline Trio","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"837","2007","""Amerikhastan""","Megadeth","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"838","2009","""Another Bag of Bones""","Kevin Devine","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"839","2004","""Apocalypse Please""","Muse","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"840","2008","""Audience of One""","Rise Against","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"841","2019","""Arabesque""","Coldplay","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"842","1992","""Atomic Garden""","Bad Religion","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"843","1993","""Autopista de Basora""","Siniestro Total","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"844","2007","""Back Home""","Blue Scholars","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"845","1991","""Baghdad""","The Offspring","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"846","1991","""Believe""","Stryper","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"847","1989","""Beneath The Remains""","Sepultura","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"848","2005","""Bin Laden""","Immortal Technique","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"849","2007","""Black Rain""","Ozzy Osbourne","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"850","2008","""Blessed are the Landmines""","Brave Saint Saturn","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"851","2007","""Bloodsports""","New Model Army","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"852","2000","""BOB""","Outkast","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"853","2002","""Boom!""","System of a Down","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"854","1992","""The Bravery of Being Out of Range""","Roger Waters","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"855","2006","""Brother's Song""","Brand New","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"856","2003","""Bush""","David Banner","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"857","2003","""The Bushes and The President""","Dawn Called Malice","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"858","2005","""BYOB""","System of a Down","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"859","2005","""Camilo""","State Radio","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"860","2008","""Can't Happen Here""","Atreyu","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"861","2004","""Caped Crusader""","Jello Biafra with the Melvins","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"862","2007","""Capital G""","Nine Inch Nails","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"863","2007","""Captain Sterling's Little Problem""","The Coup","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"864","2008","""Cheney's Toy""","James McMurtry","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"865","2004","""Cinnamon Girl""","Prince","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"866","2009","""Civilian Ways""","Rancid","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"867","2007","""Clenching the Fists of Dissent""","Machine Head","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"868","2004","""Condi, Condi""","Steve Earle","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"869","2008","""Confrontation""","OTEP","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"870","2004","""Counting Bodies Like Sheep to the Rhythm of the War Drums""","A Perfect Circle","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"871","2013","""Crash This Train""","Joshua James","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"872","2007","""Dad's Gonna Kill Me""","Richard Thompson","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"873","2006","""Dangerous Game""","Bill Madden","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"874","2007","""Dark Side of the Sun""","Tori Amos","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"875","2004","""Day After Tomorrow""","Tom Waits","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"876","2007","""Dead Man Walking""","Bloodsimple","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"877","2007","""Dear Mr. President""","Pink","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"878","2004","""Deja Vu (All Over Again)""","John Fogerty","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"879","1991","""Desert Angel""","Stevie Nicks","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"880","2005","""Devils & Dust""","Bruce Springsteen","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"881","1991","""Die for Oil Sucker""","Jello Biafra","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"882","2006","""Dirty Bombs""","Body Count","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"883","2005","""Dirty Harry""","Gorillaz","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"884","2007","""Don't Make Me a Target""","Spoon","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"885","2007","""Dress Blues""","Jason Isbell","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"886","2008","""The Drums of War""","Jackson Browne","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"887","2006","""Everybody's Gone to War""","Nerina Pallot","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"888","2004","""The Empire Strikes First""","Bad Religion","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"889","2007","""Empty Walls""","Serj Tankian","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"890","2005","""The Evil Has Landed""","Testament","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"891","2006","""Exit Strategy""","Valient Thorr","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"892","2003","""Façade of Reality""","Epica","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"893","2006","""For the Greater Good of God""","Iron Maiden","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"894","2002","The Rising","Bruce Springsteen","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"895","2003","""Fall Dog Bombs the Moon""","David Bowie","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"896","2011","""Fallujah""","Terry Sutton Conspiracy","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"897","2009","""Far from Home""","Five Finger Death Punch","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"898","1991","""Fertile Crescent""","Bad Religion","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"899","2004","""Final Straw""","REM","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"900","2006","""Final Transmission""","Street Dogs","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"901","1993","""Follow The Leader""","Pete Kronowitt","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"902","2003","""Franco Un-American""","NOFX","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"903","2008","""Friends in the Armed Forces""","Thursday","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"904","2005","""Frontlines""","Soulfly","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"905","1991","""Fuck a War""","Geto Boys","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"906","2006","""Fun and Games""","Barenaked Ladies","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"907","1998","""The General""","Dispatch","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"908","2007","""George W. Told The Nation""","Tom Paxton","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"909","2006","""The Getaway""","Voivod","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"910","2008","""God is not with You !""","Ira dei (Belgium)","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"911","2003","""Good Song""","Blur","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"912","2009","""Ground Zero""","Chris Cornell","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"913","1994","""Gulf War Song""","Moxy Früvous","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"914","2007","""Gunslinger""","Avenged Sevenfold","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"915","2008","""Hammerhead""","The Offspring","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"916","2005","""The Hand That Feeds""","Nine Inch Nails","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"917","2006","""Hard-On for War""","Mudhoney","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"918","2006","""Harrowdown Hill""","Thom Yorke","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"919","2007","""Hands Held High""","Linkin Park","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"920","1992","""Heaven is Falling""","Bad Religion","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"921","2008","""Hero of War""","Rise Against","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"922","2008","""Hey Ma""","James","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"923","1991","""Highwire""","Rolling Stones","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"924","2004","""Holiday""","Green Day","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"925","1991","""Holy War""","Matthew Sweet","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"926","2008","""Home Front""","Drive-By Truckers","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"927","2004","""Home to Houston""","Steve Earle","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"928","2006","""The Holidays Are Here (And We're Still at War)""","Brett Dennen","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"929","2003","""How Much Do You Suck?""","The Jeevas","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"930","1991","""How Much Longer""","Paul Leary","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
"931","2007","""I Can't Take It No More""","John Fogerty","Gulf War(s), Iraq, 9/11, and the War on Terror",451452,1764452,1990,2020,"USA vs Various Middle-Eastern countries and rebel groups","Worldwide",30,1107952
